Years_in_CS,Programming_Languages,Frameworks,Databases,DevOps_Tools,Networking_Experience,Cybersecurity_Experience,AI_Data_Science_Experience,Current_Role,Happy_in_Current_Role,Current_Role_Difficulty
Less than 1 year,C,Kali Linux,PostgreSQL,DigitalOcean,Yes,No,No,Network Engineer,Yes,No
3-5 years,Kotlin,Godot,MySQL,Apache,No,No,No,Project Manager,No,Yes
1-3 years,TypeScript,Keras,CassandraDB,Terraform,No,No,Yes,Software Engineer,No,No
3-5 years,TypeScript,Burp Suite,Microsoft SQL Server,Git,Yes,No,No,Cybersecurity Analyst,Yes,Yes
More than 5 years,Python,Svelte,MongoDB,CircleCI,No,No,Yes,Cloud Engineer,Yes,No
1-3 years,Other (please specify),SwiftUI,Other (please specify),Git,Yes,No,Yes,Cybersecurity Analyst,Yes,Yes
1-3 years,Go,Burp Suite,Microsoft SQL Server,GitLab CI/CD,No,Yes,Yes,Cloud Engineer,No,No
3-5 years,Python,Ruby on Rails,SQLite,Azure,Yes,Yes,No,Software Engineer,No,Yes
1-3 years,Java,React,Redis,Git,No,Yes,No,Data Engineer,Yes,No
3-5 years,Swift,Burp Suite,SQLite,Travis CI,Yes,Yes,No,Full-Stack Developer,Yes,Yes
None,C++,OpenVAS,SQLite,CircleCI,Yes,No,Yes,Database Administrator,No,Yes
More than 5 years,C++,Flutter,Microsoft SQL Server,Kubernetes,Yes,No,No,Software Engineer,Yes,No
Less than 1 year,None,Ruby on Rails,OracleDB,Apache,Yes,No,Yes,Data Engineer,Yes,Yes
None,Kotlin,TensorFlow,OracleDB,Terraform,Yes,Yes,No,Front-End Developer,No,No
1-3 years,Go,Unreal Engine,OracleDB,CircleCI,No,No,No,AI Researcher,No,Yes
None,Swift,Flask,Other (please specify),Jenkins,No,Yes,No,Systems Analyst,No,Yes
None,JavaScript,.NET Core,Redis,DigitalOcean,No,No,Yes,Robotics Engineer,No,Yes
More than 5 years,Java,Keras,Redis,Jenkins,No,Yes,Yes,Robotics Engineer,No,Yes
More than 5 years,Go,Nestjs,SQLite,DigitalOcean,No,Yes,Yes,Project Manager,No,No
3-5 years,Ruby,Apache Spark,MySQL,DigitalOcean,No,No,Yes,Mobile Developer,No,Yes
More than 5 years,Go,Keras,Redis,Git,No,No,No,Full-Stack Developer,Yes,Yes
None,Kotlin,GTK,PostgreSQL,Jenkins,Yes,Yes,No,Other (please specify),No,No
3-5 years,PHP,Next.js,CassandraDB,Terraform,No,Yes,Yes,Mobile Developer,Yes,Yes
1-3 years,Swift,Kotlin Multiplatform Mobile (KMM),SQLite,GitLab CI/CD,No,Yes,Yes,Data Engineer,Yes,No
3-5 years,Other (please specify),Flask,OracleDB,Terraform,No,Yes,No,Game Developer,Yes,No
3-5 years,Go,Flutter,MySQL,GitLab CI/CD,No,Yes,No,Mobile Developer,No,Yes
1-3 years,Go,PyTorch,OracleDB,Travis CI,No,Yes,No,Data Scientist,No,No
1-3 years,Swift,Snort,Redis,Ansible,No,Yes,No,Machine Learning Engineer,Yes,No
3-5 years,Java,Qt,MySQL,DigitalOcean,Yes,No,No,Software Engineer,Yes,No
More than 5 years,Go,Numpy,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Database Administrator,No,Yes
3-5 years,TypeScript,Burp Suite,PostgreSQL,DigitalOcean,No,No,No,Mobile Developer,Yes,Yes
None,None,Django,MongoDB,Azure,Yes,No,Yes,Robotics Engineer,Yes,No
3-5 years,TypeScript,PyTorch,MongoDB,Travis CI,Yes,Yes,No,Mobile Developer,No,No
None,Dart,Metasploit,Microsoft SQL Server,GitLab CI/CD,No,No,No,Product Manager,No,Yes
Less than 1 year,Other (please specify),TensorFlow,Other (please specify),Docker,No,No,Yes,Cloud Engineer,No,No
More than 5 years,C,Vue.js,CassandraDB,Apache,No,No,Yes,Data Scientist,Yes,Yes
None,Swift,.NET Core,SQLite,Git,Yes,Yes,Yes,Data Engineer,No,No
3-5 years,Python,Unity,CassandraDB,CircleCI,No,Yes,No,Database Administrator,No,No
None,Java,Express.js,Other (please specify),Travis CI,Yes,No,Yes,Game Developer,No,No
Less than 1 year,Dart,Xamarin,PostgreSQL,Jenkins,No,Yes,Yes,Game Developer,Yes,Yes
None,Dart,PyTorch,SQLite,Apache,Yes,No,Yes,Machine Learning Engineer,No,No
Less than 1 year,Go,Dask,PostgreSQL,Git,Yes,No,Yes,Systems Analyst,Yes,Yes
None,C,Vue.js,CassandraDB,Docker,Yes,Yes,No,Front-End Developer,Yes,No
3-5 years,TypeScript,Godot,CassandraDB,Terraform,No,No,Yes,Front-End Developer,No,No
3-5 years,TypeScript,Svelte,MySQL,Nginx,No,Yes,Yes,Robotics Engineer,No,Yes
1-3 years,Rust,Apache Spark,Other (please specify),Git,No,Yes,Yes,Cybersecurity Analyst,Yes,No
More than 5 years,Rust,Burp Suite,SQLite,AWS,Yes,No,No,Back-End Developer,No,Yes
None,Kotlin,OpenVAS,Redis,Jenkins,No,Yes,Yes,IT Support Specialist,Yes,Yes
More than 5 years,PHP,Electron,CassandraDB,Azure,Yes,Yes,No,Full-Stack Developer,No,No
More than 5 years,C++,Unreal Engine,SQLite,Kubernetes,No,Yes,Yes,Software Engineer,Yes,No
1-3 years,PHP,Pandas,Microsoft SQL Server,Apache,No,No,No,Software Engineer,No,No
1-3 years,TypeScript,CryEngine,OracleDB,Other (please specify),No,Yes,No,Network Engineer,No,No
1-3 years,Java,Pandas,Microsoft SQL Server,Apache,No,No,No,DevOps Engineer,Yes,No
1-3 years,C++,WPF,SQLite,Git,Yes,No,No,Mobile Developer,Yes,Yes
More than 5 years,Rust,Svelte,Other (please specify),Azure,No,No,Yes,Data Engineer,Yes,No
1-3 years,PHP,Flask,PostgreSQL,GitLab CI/CD,Yes,Yes,No,Data Scientist,Yes,No
More than 5 years,PHP,Apache Spark,MySQL,Nginx,Yes,No,Yes,Product Manager,No,No
More than 5 years,Rust,Kali Linux,MySQL,Apache,No,Yes,No,Product Manager,No,No
1-3 years,C,Snort,CassandraDB,Apache,Yes,Yes,No,DevOps Engineer,Yes,No
Less than 1 year,Dart,Dask,CassandraDB,Nginx,Yes,No,Yes,Robotics Engineer,Yes,No
Less than 1 year,Other (please specify),Dask,OracleDB,Azure,Yes,Yes,Yes,Front-End Developer,No,Yes
None,JavaScript,JavaFX,Microsoft SQL Server,Kubernetes,No,No,No,AI Researcher,No,Yes
Less than 1 year,Go,Vue.js,SQLite,Ansible,Yes,No,Yes,Cybersecurity Analyst,No,Yes
3-5 years,C,Unreal Engine,Microsoft SQL Server,Jenkins,No,No,No,Product Manager,No,Yes
None,Ruby,Wireshark,MongoDB,Ansible,No,Yes,Yes,Other (please specify),No,No
None,Python,Qt,SQLite,Azure,Yes,Yes,No,Front-End Developer,No,Yes
More than 5 years,C,Burp Suite,MongoDB,AWS,Yes,No,Yes,Cybersecurity Analyst,No,Yes
3-5 years,Rust,Wireshark,MongoDB,CircleCI,Yes,Yes,Yes,Database Administrator,No,No
None,Dart,Keras,SQLite,Jenkins,Yes,No,Yes,Front-End Developer,No,Yes
3-5 years,Java,Kotlin Multiplatform Mobile (KMM),Other (please specify),Google Cloud Platform,No,Yes,Yes,Mobile Developer,Yes,No
1-3 years,C#,Flutter,SQLite,Azure,Yes,No,Yes,Database Administrator,Yes,Yes
More than 5 years,Java,Flask,MySQL,Docker,No,Yes,No,Mobile Developer,Yes,No
1-3 years,Go,Flask,CassandraDB,Other (please specify),Yes,Yes,Yes,Machine Learning Engineer,Yes,No
None,Kotlin,Angular,Microsoft SQL Server,Git,No,Yes,No,Machine Learning Engineer,No,Yes
3-5 years,Ruby,SwiftUI,MongoDB,Nginx,No,Yes,Yes,Back-End Developer,No,No
More than 5 years,Python,Scikit-Learn,SQLite,DigitalOcean,No,Yes,No,Cloud Engineer,Yes,Yes
More than 5 years,JavaScript,Scikit-Learn,OracleDB,Azure,Yes,Yes,No,Mobile Developer,No,Yes
3-5 years,Kotlin,Apache Spark,MySQL,DigitalOcean,No,No,Yes,Project Manager,No,Yes
Less than 1 year,Python,Unity,CassandraDB,CircleCI,Yes,Yes,No,Full-Stack Developer,Yes,No
1-3 years,C++,Snort,MongoDB,Docker,No,No,No,Full-Stack Developer,No,Yes
1-3 years,Swift,Pandas,Redis,DigitalOcean,No,Yes,Yes,IT Support Specialist,No,No
Less than 1 year,C#,Flask,Other (please specify),AWS,No,Yes,Yes,Mobile Developer,Yes,Yes
More than 5 years,C,Pandas,CassandraDB,Google Cloud Platform,Yes,Yes,No,Full-Stack Developer,No,No
More than 5 years,Go,CryEngine,MySQL,Terraform,No,No,Yes,Other (please specify),Yes,Yes
Less than 1 year,Dart,PyTorch,MySQL,Kubernetes,No,Yes,Yes,Data Scientist,No,Yes
1-3 years,TypeScript,Apache Spark,SQLite,Google Cloud Platform,Yes,Yes,Yes,Database Administrator,Yes,Yes
More than 5 years,Rust,Kotlin Multiplatform Mobile (KMM),MySQL,Azure,Yes,No,Yes,Machine Learning Engineer,No,Yes
More than 5 years,C++,Vue.js,PostgreSQL,Docker,Yes,No,Yes,Product Manager,Yes,Yes
1-3 years,C#,Burp Suite,PostgreSQL,Ansible,No,No,No,Front-End Developer,Yes,Yes
More than 5 years,Java,Numpy,Other (please specify),GitLab CI/CD,No,Yes,Yes,Network Engineer,No,No
More than 5 years,C++,Scikit-Learn,Redis,DigitalOcean,Yes,No,No,Data Engineer,No,No
More than 5 years,PHP,Dask,MongoDB,Jenkins,No,No,No,Software Engineer,No,No
3-5 years,Kotlin,JavaFX,PostgreSQL,Terraform,Yes,No,No,Product Manager,No,Yes
3-5 years,Java,Xamarin,SQLite,DigitalOcean,No,Yes,Yes,Project Manager,Yes,No
None,C++,CryEngine,Redis,CircleCI,No,No,No,DevOps Engineer,No,Yes
Less than 1 year,Kotlin,Next.js,MongoDB,Terraform,No,Yes,No,AI Researcher,Yes,Yes
1-3 years,Dart,WPF,OracleDB,Google Cloud Platform,Yes,No,No,Mobile Developer,No,Yes
3-5 years,Go,GTK,Microsoft SQL Server,Kubernetes,Yes,No,Yes,Robotics Engineer,Yes,Yes
3-5 years,JavaScript,GTK,MongoDB,Travis CI,No,Yes,No,Full-Stack Developer,No,Yes
1-3 years,Go,Kali Linux,Other (please specify),GitLab CI/CD,No,No,No,Machine Learning Engineer,Yes,Yes
None,C,Django,MySQL,Git,Yes,Yes,Yes,Front-End Developer,No,Yes
1-3 years,Go,Scikit-Learn,MySQL,Nginx,No,No,No,Data Scientist,Yes,Yes
Less than 1 year,JavaScript,Numpy,Other (please specify),Travis CI,No,Yes,No,Product Manager,Yes,No
None,Kotlin,Pandas,Other (please specify),Apache,No,No,Yes,IT Support Specialist,Yes,No
3-5 years,Python,Numpy,Microsoft SQL Server,Terraform,No,No,No,Game Developer,Yes,Yes
1-3 years,Dart,JavaFX,Other (please specify),Jenkins,No,Yes,Yes,Front-End Developer,No,No
3-5 years,Rust,Dask,Redis,Apache,No,Yes,Yes,Software Engineer,Yes,Yes
1-3 years,PHP,Metasploit,Other (please specify),Azure,Yes,No,Yes,DevOps Engineer,No,Yes
None,Java,Vue.js,SQLite,CircleCI,No,Yes,No,DevOps Engineer,No,No
1-3 years,C#,Angular,OracleDB,Docker,No,No,No,Other (please specify),Yes,Yes
1-3 years,C,Wireshark,MySQL,Terraform,No,No,No,Other (please specify),Yes,Yes
None,Dart,Next.js,CassandraDB,Git,Yes,No,No,Database Administrator,Yes,No
1-3 years,JavaScript,TensorFlow,MySQL,Jenkins,No,No,No,Game Developer,Yes,Yes
None,C,Xamarin,SQLite,Azure,No,No,Yes,Network Engineer,Yes,No
3-5 years,Go,TensorFlow,Microsoft SQL Server,Jenkins,No,Yes,Yes,Full-Stack Developer,No,Yes
More than 5 years,Java,GTK,SQLite,AWS,No,No,Yes,Machine Learning Engineer,Yes,No
Less than 1 year,Other (please specify),OpenVAS,Redis,Nginx,No,Yes,No,Systems Analyst,No,No
1-3 years,C,Keras,Microsoft SQL Server,Kubernetes,No,Yes,Yes,Cloud Engineer,No,No
Less than 1 year,Go,Nestjs,Redis,Docker,Yes,Yes,Yes,Database Administrator,No,No
1-3 years,TypeScript,Unreal Engine,SQLite,Ansible,Yes,Yes,No,Network Engineer,Yes,Yes
1-3 years,TypeScript,Snort,PostgreSQL,AWS,Yes,Yes,No,Robotics Engineer,No,No
1-3 years,C++,SwiftUI,CassandraDB,Other (please specify),No,No,Yes,DevOps Engineer,No,No
None,Other (please specify),SwiftUI,SQLite,Other (please specify),Yes,No,No,Front-End Developer,Yes,Yes
1-3 years,TypeScript,Svelte,PostgreSQL,CircleCI,Yes,Yes,Yes,Project Manager,Yes,Yes
1-3 years,Dart,Express.js,OracleDB,Apache,No,Yes,No,AI Researcher,Yes,No
Less than 1 year,Ruby,Express.js,SQLite,Google Cloud Platform,Yes,No,Yes,DevOps Engineer,Yes,No
Less than 1 year,Kotlin,Unity,Redis,Git,Yes,No,Yes,Game Developer,Yes,No
Less than 1 year,Java,Dask,PostgreSQL,Ansible,Yes,Yes,Yes,Systems Analyst,Yes,Yes
None,None,WPF,SQLite,GitLab CI/CD,No,No,Yes,Machine Learning Engineer,No,Yes
More than 5 years,PHP,Dask,CassandraDB,Ansible,No,Yes,No,AI Researcher,No,Yes
More than 5 years,Ruby,Unity,Redis,Jenkins,No,Yes,Yes,Product Manager,Yes,Yes
Less than 1 year,None,WPF,Other (please specify),GitLab CI/CD,No,Yes,Yes,IT Support Specialist,No,Yes
More than 5 years,C,Unreal Engine,CassandraDB,Nginx,Yes,No,No,Cybersecurity Analyst,Yes,Yes
Less than 1 year,Python,Wireshark,SQLite,Other (please specify),No,No,Yes,Project Manager,No,Yes
Less than 1 year,None,Apache Spark,PostgreSQL,GitLab CI/CD,No,No,Yes,Full-Stack Developer,No,No
Less than 1 year,Python,CryEngine,OracleDB,Jenkins,Yes,No,No,Machine Learning Engineer,No,Yes
None,PHP,Wireshark,Microsoft SQL Server,Azure,Yes,No,No,Project Manager,No,No
Less than 1 year,C++,Pandas,MongoDB,Azure,No,Yes,Yes,Software Engineer,Yes,No
3-5 years,Dart,Angular,PostgreSQL,Apache,Yes,Yes,No,Other (please specify),No,Yes
1-3 years,Ruby,Snort,OracleDB,GitLab CI/CD,No,No,No,Game Developer,Yes,No
More than 5 years,Go,Flutter,OracleDB,Git,Yes,Yes,Yes,AI Researcher,No,No
1-3 years,Dart,Nestjs,MySQL,Travis CI,Yes,Yes,No,Game Developer,No,Yes
None,Other (please specify),React Native,PostgreSQL,Jenkins,No,No,No,DevOps Engineer,Yes,No
Less than 1 year,Kotlin,Ruby on Rails,SQLite,Travis CI,No,Yes,Yes,Mobile Developer,No,No
More than 5 years,Go,Electron,CassandraDB,CircleCI,Yes,Yes,No,Game Developer,No,Yes
More than 5 years,Kotlin,Snort,OracleDB,Jenkins,No,No,Yes,AI Researcher,Yes,No
None,C,Qt,Other (please specify),Ansible,Yes,No,Yes,Data Scientist,No,Yes
1-3 years,Other (please specify),Nestjs,MongoDB,Ansible,Yes,Yes,Yes,DevOps Engineer,Yes,Yes
More than 5 years,Java,Scikit-Learn,Microsoft SQL Server,Jenkins,Yes,Yes,No,Cybersecurity Analyst,Yes,Yes
Less than 1 year,TypeScript,Django,MongoDB,Kubernetes,No,No,Yes,Back-End Developer,No,No
3-5 years,Java,Metasploit,PostgreSQL,Google Cloud Platform,Yes,No,Yes,Data Engineer,Yes,No
3-5 years,C++,CryEngine,OracleDB,AWS,Yes,Yes,No,Other (please specify),Yes,No
More than 5 years,TypeScript,React Native,Other (please specify),AWS,Yes,No,Yes,Game Developer,No,Yes
3-5 years,TypeScript,Unreal Engine,OracleDB,Ansible,Yes,Yes,Yes,Cybersecurity Analyst,Yes,Yes
More than 5 years,None,Metasploit,SQLite,Google Cloud Platform,No,No,Yes,Systems Analyst,No,No
3-5 years,Other (please specify),JavaFX,OracleDB,Kubernetes,Yes,Yes,No,Project Manager,Yes,No
1-3 years,Kotlin,Xamarin,SQLite,Travis CI,Yes,Yes,Yes,Project Manager,Yes,No
Less than 1 year,C,Nestjs,MongoDB,Apache,Yes,Yes,No,Database Administrator,No,Yes
None,TypeScript,PyTorch,OracleDB,Azure,No,Yes,Yes,Cloud Engineer,Yes,Yes
None,Go,Express.js,MongoDB,AWS,Yes,Yes,Yes,Database Administrator,Yes,No
Less than 1 year,Rust,React,PostgreSQL,Ansible,Yes,No,Yes,Product Manager,Yes,No
More than 5 years,JavaScript,Numpy,Microsoft SQL Server,Docker,No,No,Yes,Robotics Engineer,Yes,No
Less than 1 year,C#,Snort,SQLite,GitLab CI/CD,No,No,Yes,Database Administrator,Yes,Yes
None,Swift,Nestjs,Redis,Git,No,Yes,No,AI Researcher,No,No
1-3 years,Rust,SwiftUI,MongoDB,CircleCI,No,Yes,No,Front-End Developer,Yes,No
Less than 1 year,Python,Next.js,Redis,Jenkins,No,Yes,No,Robotics Engineer,Yes,No
More than 5 years,Other (please specify),Metasploit,Microsoft SQL Server,Apache,No,No,Yes,Other (please specify),No,No
None,C,Unreal Engine,OracleDB,Jenkins,Yes,Yes,No,Mobile Developer,No,Yes
None,None,PyTorch,Other (please specify),Terraform,Yes,Yes,Yes,DevOps Engineer,Yes,No
1-3 years,C,Flask,MongoDB,Other (please specify),No,No,Yes,Game Developer,Yes,No
1-3 years,PHP,CryEngine,PostgreSQL,Terraform,No,No,Yes,Machine Learning Engineer,No,No
1-3 years,Java,React,Microsoft SQL Server,Jenkins,No,Yes,Yes,AI Researcher,No,Yes
1-3 years,JavaScript,Svelte,MySQL,Other (please specify),No,No,Yes,Project Manager,Yes,No
More than 5 years,Rust,GTK,PostgreSQL,Git,Yes,No,No,Network Engineer,No,No
None,Other (please specify),TensorFlow,Microsoft SQL Server,Docker,No,No,No,Systems Analyst,Yes,Yes
3-5 years,Go,React,MongoDB,Kubernetes,No,Yes,No,Other (please specify),No,No
1-3 years,None,Apache Spark,PostgreSQL,Nginx,No,Yes,Yes,Full-Stack Developer,Yes,No
1-3 years,Other (please specify),Godot,PostgreSQL,Docker,Yes,Yes,Yes,DevOps Engineer,Yes,Yes
None,None,TensorFlow,MongoDB,Nginx,No,No,Yes,Game Developer,No,No
Less than 1 year,Go,React Native,PostgreSQL,AWS,No,No,No,IT Support Specialist,No,Yes
Less than 1 year,PHP,.NET Core,PostgreSQL,Google Cloud Platform,No,Yes,No,Machine Learning Engineer,No,No
Less than 1 year,Other (please specify),Vue.js,CassandraDB,AWS,Yes,Yes,No,Software Engineer,No,Yes
Less than 1 year,Java,Apache Spark,PostgreSQL,Git,Yes,No,No,Back-End Developer,Yes,Yes
1-3 years,C#,TensorFlow,Redis,Google Cloud Platform,No,Yes,No,Mobile Developer,Yes,No
1-3 years,Other (please specify),Wireshark,Other (please specify),Azure,No,No,Yes,AI Researcher,Yes,No
More than 5 years,Rust,Vue.js,Redis,Ansible,No,Yes,Yes,Machine Learning Engineer,Yes,No
Less than 1 year,JavaScript,Ruby on Rails,OracleDB,Other (please specify),Yes,Yes,No,IT Support Specialist,No,Yes
3-5 years,TypeScript,Electron,OracleDB,Apache,Yes,No,Yes,Game Developer,No,No
More than 5 years,C#,Pandas,MySQL,Ansible,No,Yes,No,Data Scientist,No,No
More than 5 years,Python,Unity,CassandraDB,Azure,No,No,No,AI Researcher,Yes,Yes
None,Other (please specify),JavaFX,Redis,Azure,Yes,Yes,No,Data Engineer,Yes,No
3-5 years,Rust,Flutter,Other (please specify),Ansible,No,Yes,Yes,Network Engineer,No,Yes
3-5 years,Kotlin,Wireshark,CassandraDB,Ansible,No,No,Yes,Software Engineer,Yes,Yes
None,Ruby,SwiftUI,MongoDB,Kubernetes,No,No,Yes,DevOps Engineer,Yes,No
None,C#,Metasploit,MongoDB,Git,Yes,Yes,Yes,AI Researcher,Yes,Yes
None,C#,Unreal Engine,Microsoft SQL Server,GitLab CI/CD,Yes,Yes,Yes,Network Engineer,No,Yes
3-5 years,C,Angular,MongoDB,Git,No,No,Yes,Project Manager,Yes,No
None,Java,Nestjs,MongoDB,CircleCI,Yes,Yes,No,Other (please specify),Yes,No
3-5 years,TypeScript,Next.js,PostgreSQL,Jenkins,No,No,No,Project Manager,Yes,No
More than 5 years,Ruby,Dask,CassandraDB,CircleCI,No,No,Yes,Systems Analyst,Yes,Yes
None,Dart,Xamarin,SQLite,Google Cloud Platform,Yes,No,Yes,Back-End Developer,Yes,No
1-3 years,Go,Burp Suite,SQLite,Other (please specify),No,No,No,Machine Learning Engineer,No,Yes
Less than 1 year,C++,Scikit-Learn,SQLite,Nginx,Yes,Yes,Yes,Machine Learning Engineer,No,No
None,Python,Flutter,MongoDB,CircleCI,No,Yes,No,Cybersecurity Analyst,No,No
None,None,React Native,Microsoft SQL Server,Docker,No,No,Yes,Robotics Engineer,Yes,No
Less than 1 year,PHP,SwiftUI,PostgreSQL,Ansible,No,No,No,Other (please specify),No,Yes
1-3 years,Other (please specify),Unity,SQLite,Other (please specify),Yes,No,No,Cybersecurity Analyst,Yes,No
None,Python,Svelte,Redis,GitLab CI/CD,No,Yes,No,Cloud Engineer,Yes,No
1-3 years,Python,PyTorch,CassandraDB,AWS,Yes,Yes,No,DevOps Engineer,Yes,Yes
Less than 1 year,Kotlin,PyTorch,MongoDB,Git,No,No,No,Software Engineer,Yes,No
3-5 years,TypeScript,Godot,MySQL,Apache,Yes,No,Yes,Product Manager,Yes,Yes
Less than 1 year,Swift,Unreal Engine,Microsoft SQL Server,Docker,Yes,Yes,Yes,IT Support Specialist,Yes,Yes
3-5 years,Ruby,Flutter,CassandraDB,Travis CI,No,Yes,Yes,Machine Learning Engineer,No,Yes
None,Swift,Scikit-Learn,Microsoft SQL Server,Google Cloud Platform,No,No,No,Software Engineer,Yes,Yes
1-3 years,Kotlin,Flask,OracleDB,Terraform,Yes,Yes,No,Game Developer,Yes,Yes
1-3 years,C#,React Native,SQLite,Azure,No,Yes,Yes,Software Engineer,Yes,Yes
Less than 1 year,Kotlin,Next.js,Microsoft SQL Server,Docker,No,Yes,Yes,Cloud Engineer,No,Yes
1-3 years,Go,Flutter,Other (please specify),Apache,No,No,Yes,Software Engineer,Yes,Yes
1-3 years,Go,Flask,MySQL,Google Cloud Platform,Yes,No,No,Robotics Engineer,No,Yes
More than 5 years,C#,OpenVAS,PostgreSQL,Other (please specify),No,No,Yes,Robotics Engineer,No,Yes
None,Swift,React,Redis,Nginx,Yes,Yes,Yes,Other (please specify),No,Yes
3-5 years,Rust,OpenVAS,Microsoft SQL Server,DigitalOcean,No,No,Yes,Project Manager,No,Yes
More than 5 years,Dart,Pandas,CassandraDB,Ansible,No,No,Yes,AI Researcher,No,No
None,Swift,Pandas,Microsoft SQL Server,Git,No,Yes,No,Network Engineer,No,Yes
3-5 years,Python,Snort,MongoDB,Git,Yes,No,Yes,DevOps Engineer,Yes,Yes
3-5 years,Kotlin,GTK,MongoDB,Terraform,Yes,No,No,AI Researcher,Yes,Yes
More than 5 years,Ruby,Django,MySQL,CircleCI,Yes,Yes,Yes,IT Support Specialist,Yes,No
3-5 years,Other (please specify),Wireshark,MySQL,Ansible,No,Yes,Yes,Network Engineer,No,Yes
1-3 years,C++,Kotlin Multiplatform Mobile (KMM),MySQL,Other (please specify),No,Yes,Yes,Data Scientist,No,Yes
Less than 1 year,Kotlin,OpenVAS,MySQL,AWS,No,Yes,Yes,Back-End Developer,No,No
More than 5 years,TypeScript,CryEngine,PostgreSQL,DigitalOcean,No,No,No,Machine Learning Engineer,No,Yes
More than 5 years,PHP,Unity,CassandraDB,Ansible,No,Yes,No,Full-Stack Developer,Yes,No
1-3 years,C#,PyTorch,Microsoft SQL Server,Kubernetes,Yes,Yes,No,Machine Learning Engineer,Yes,Yes
None,Rust,Dask,OracleDB,CircleCI,Yes,Yes,No,Front-End Developer,No,No
More than 5 years,Rust,Kali Linux,MongoDB,GitLab CI/CD,Yes,No,No,Robotics Engineer,No,No
Less than 1 year,Rust,Snort,Other (please specify),DigitalOcean,Yes,Yes,Yes,Systems Analyst,Yes,Yes
More than 5 years,Kotlin,Svelte,Redis,DigitalOcean,Yes,No,No,Game Developer,No,Yes
More than 5 years,TypeScript,Vue.js,PostgreSQL,Nginx,Yes,Yes,Yes,Full-Stack Developer,No,Yes
More than 5 years,PHP,Keras,Redis,Terraform,Yes,Yes,Yes,Product Manager,Yes,No
3-5 years,JavaScript,.NET Core,CassandraDB,Jenkins,Yes,No,No,Data Engineer,Yes,Yes
3-5 years,None,Dask,CassandraDB,Git,No,No,Yes,Front-End Developer,Yes,No
None,Ruby,TensorFlow,MySQL,Other (please specify),No,Yes,Yes,Software Engineer,No,Yes
Less than 1 year,C#,Nestjs,Other (please specify),Azure,No,No,No,IT Support Specialist,Yes,Yes
1-3 years,Dart,Pandas,PostgreSQL,Terraform,No,No,Yes,Network Engineer,Yes,No
More than 5 years,Dart,CryEngine,PostgreSQL,Kubernetes,Yes,No,Yes,Robotics Engineer,Yes,Yes
Less than 1 year,PHP,GTK,MongoDB,DigitalOcean,No,Yes,Yes,Back-End Developer,No,No
1-3 years,Dart,Burp Suite,PostgreSQL,AWS,Yes,No,No,Mobile Developer,No,Yes
1-3 years,Go,Unreal Engine,Redis,Nginx,Yes,Yes,Yes,Front-End Developer,No,Yes
Less than 1 year,PHP,Angular,OracleDB,Apache,No,No,Yes,Robotics Engineer,No,No
3-5 years,C#,OpenVAS,Other (please specify),AWS,No,No,Yes,Database Administrator,Yes,No
3-5 years,C#,Keras,Redis,GitLab CI/CD,No,No,No,AI Researcher,No,Yes
1-3 years,JavaScript,Wireshark,Redis,Nginx,No,No,Yes,Front-End Developer,Yes,Yes
Less than 1 year,C,Vue.js,SQLite,CircleCI,No,No,No,Game Developer,Yes,Yes
3-5 years,Go,Burp Suite,CassandraDB,Docker,No,No,Yes,Game Developer,Yes,Yes
3-5 years,PHP,Keras,Redis,Git,Yes,Yes,No,Cybersecurity Analyst,No,No
3-5 years,Python,.NET Core,Other (please specify),Other (please specify),Yes,No,No,Machine Learning Engineer,Yes,No
3-5 years,C#,Qt,PostgreSQL,Other (please specify),No,Yes,No,Data Scientist,Yes,No
None,Python,Angular,Redis,CircleCI,No,Yes,Yes,AI Researcher,Yes,Yes
Less than 1 year,None,Godot,SQLite,Travis CI,No,No,No,Software Engineer,Yes,Yes
More than 5 years,Swift,OpenVAS,Redis,CircleCI,Yes,Yes,Yes,Systems Analyst,Yes,Yes
1-3 years,None,Kali Linux,CassandraDB,Docker,No,Yes,Yes,Front-End Developer,No,No
None,Go,Express.js,MySQL,CircleCI,Yes,Yes,No,Machine Learning Engineer,No,No
More than 5 years,Java,Scikit-Learn,OracleDB,Terraform,No,Yes,Yes,IT Support Specialist,Yes,No
3-5 years,Rust,Godot,SQLite,Docker,Yes,Yes,Yes,Data Engineer,No,Yes
Less than 1 year,Kotlin,Unreal Engine,OracleDB,AWS,No,No,Yes,Game Developer,No,Yes
More than 5 years,PHP,Svelte,Other (please specify),AWS,Yes,No,Yes,Machine Learning Engineer,No,Yes
More than 5 years,PHP,Burp Suite,Other (please specify),CircleCI,Yes,Yes,Yes,Software Engineer,Yes,No
More than 5 years,Swift,WPF,CassandraDB,Azure,No,No,Yes,DevOps Engineer,Yes,No
Less than 1 year,C++,Express.js,OracleDB,Travis CI,Yes,No,Yes,Network Engineer,Yes,Yes
1-3 years,C#,Xamarin,Redis,Jenkins,Yes,Yes,No,Other (please specify),No,Yes
None,C++,React,CassandraDB,Azure,Yes,Yes,Yes,Product Manager,Yes,No
More than 5 years,C,Snort,SQLite,Apache,Yes,No,No,Game Developer,No,Yes
Less than 1 year,Swift,Flutter,PostgreSQL,Jenkins,No,No,Yes,IT Support Specialist,Yes,No
